Indexcd,Idxtrd01,Idxtrd08
906,2013/11/12,1.018
906,2013/11/13,-2.1274
906,2013/11/14,0.875
906,2013/11/15,2.0289
906,2013/11/18,3.0971
906,2013/11/19,-0.427
906,2013/11/20,0.648
906,2013/11/21,-0.5415
906,2013/11/22,-0.5218
906,2013/11/25,-0.3089
906,2013/11/26,0.0039
906,2013/11/27,1.1369
906,2013/11/28,0.9872
906,2013/11/29,0.1407
906,2013/12/2,-1.7798
906,2013/12/3,1.3431
906,2013/12/4,1.4713
906,2013/12/5,-0.2357
906,2013/12/6,-0.5427
906,2013/12/9,0.1499
906,2013/12/10,0.0922
906,2013/12/11,-1.5097
906,2013/12/12,-0.0152
906,2013/12/13,-0.0459
906,2013/12/16,-1.6387
906,2013/12/17,-0.5202
906,2013/12/18,0.0269
906,2013/12/19,-1.0437
906,2013/12/20,-2.0538
906,2013/12/23,0.1807
906,2013/12/24,0.2977
906,2013/12/25,0.8194
906,2013/12/26,-1.7229
906,2013/12/27,1.6464
906,2013/12/30,-0.0455
906,2013/12/31,1.0926
906,2014/1/2,-0.1288
906,2014/1/3,-1.2072
906,2014/1/6,-2.4034
906,2014/1/7,0.139
906,2014/1/8,0.1608
906,2014/1/9,-0.9437
906,2014/1/10,-1.0537
906,2014/1/13,-0.494
906,2014/1/14,1.1604
906,2014/1/15,0.0443
906,2014/1/16,0.1406
906,2014/1/17,-1.4117
906,2014/1/20,-0.6219
906,2014/1/21,1.133
906,2014/1/22,2.6032
906,2014/1/23,-0.2059
906,2014/1/24,0.852
906,2014/1/27,-0.9741
906,2014/1/28,0.0725
906,2014/1/29,0.5024
906,2014/1/30,-0.9883
906,2014/2/7,0.8384
906,2014/2/10,2.6168
906,2014/2/11,0.6143
906,2014/2/12,0.4839
906,2014/2/13,-0.7782
906,2014/2/14,0.9812
906,2014/2/17,1.0324
906,2014/2/18,-0.9442
906,2014/2/19,0.8272
906,2014/2/20,-1.0535
906,2014/2/21,-0.9123
906,2014/2/24,-1.6943
906,2014/2/25,-2.8273
906,2014/2/26,0.3678
906,2014/2/27,-0.6814
906,2014/2/28,1.1243
906,2014/3/3,0.9597
906,2014/3/4,-0.1943
906,2014/3/5,-0.818
906,2014/3/6,0.2841
906,2014/3/7,-0.3166
906,2014/3/10,-3.4068
906,2014/3/11,0.4018
906,2014/3/12,0.1969
906,2014/3/13,1.1927
906,2014/3/14,-0.7189
906,2014/3/17,1.2485
906,2014/3/18,-0.0071
906,2014/3/19,-0.6387
906,2014/3/20,-1.8887
906,2014/3/21,3.021
906,2014/3/24,0.8293
906,2014/3/25,-0.0327
906,2014/3/26,-0.0393
906,2014/3/27,-0.912
906,2014/3/28,-0.6843
906,2014/3/31,-0.3674
906,2014/4/1,0.9905
906,2014/4/2,0.6066
906,2014/4/3,-0.5627
906,2014/4/4,0.9887
906,2014/4/8,2.013
906,2014/4/9,0.2969
906,2014/4/10,1.2755
